
Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,18,18,18,18,18,18,18,1,1,207,207,207,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,18,18,18,18,18,18,18,1,1,207,207,207,No
4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,29,29,29,29,29,29,29,1,1,207,207,207,Yes
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,114,114,114,57,114,114,57,2,2,378,207,189,Yes
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,5429,10894,5465,5447,5701,5429,2850,2,2,172,171,86,Yes
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,90,91,90,45,90,90,45,2,2,378,207,189,No
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,17,17,17,17,17,17,17,1,1,207,207,207,Yes
4.0.0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,14,14,14,7,14,14,7,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,60,93,60,31,61,60,20,3,2,471,207,157,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,65,94,65,18,67,65,13,5,3,537,207,107,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,52,70,52,17,53,52,13,4,3,488,207,122,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,68,117,68,39,69,68,23,3,2,471,207,157,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,18,18,18,18,18,18,18,1,1,207,207,207,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,197,198,197,99,197,197,98,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,10,14,10,7,11,10,5,2,2,300,207,150,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,74,74,74,74,74,74,74,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,10,10,10,5,10,10,5,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,47,47,47,47,47,47,47,1,1,207,207,207,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,6,6,6,6,6,6,6,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,6,6,6,6,6,6,6,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,9,10,9,5,9,9,4,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,304,324,304,81,308,304,77,4,3,472,207,118,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,37,53,37,26,37,37,18,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,5,5,5,2,5,5,2,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,36,37,36,18,36,36,18,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,6,6,6,3,6,6,3,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,41,52,41,26,41,41,20,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,99,111,99,37,100,99,33,3,2,471,207,157,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,45,46,45,23,45,45,22,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,252,282,252,47,271,252,45,6,3,529,207,88,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,37,38,37,19,37,37,18,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,107,112,107,37,108,107,36,3,2,471,207,157,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,492,626,492,208,493,492,164,3,2,471,207,157,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,47,48,47,24,47,47,23,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,53,56,53,18,54,53,18,3,2,471,207,157,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,4,4,4,4,4,4,4,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,292,301,292,100,293,292,97,3,2,471,207,157,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,32,32,32,32,32,32,32,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,28,28,28,14,28,28,14,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,12,12,12,6,12,12,6,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,4,4,4,2,4,4,2,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,37,38,37,19,37,37,18,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,336,355,336,118,337,336,112,3,2,471,207,157,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,10,10,10,5,10,10,5,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,15,15,15,15,15,15,15,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,27,27,27,13,27,27,13,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,79,82,79,41,79,79,39,2,2,378,207,189,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,113,120,113,30,114,113,28,4,2,499,207,124,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,13,15,13,7,13,13,6,2,2,378,207,189,Yes
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,30,33,30,16,31,30,15,2,2,300,207,150,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,35,35,35,35,35,35,35,1,1,207,207,207,No
4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,73,83,73,20,74,73,18,4,2,499,207,124,Yes
