DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
STORM,7,69.59538416593631,RandomForest,true,false,false,0.11221945137157108,0.5625,0.681488975274025,0.10066174085858903,135.0,1068.0,2855.0,105.0,0.48535564853556484,2118
STORM,7,69.59538416593631,RandomForest,true,true,false,0.09090909090909091,0.7916666666666666,0.6743855680176736,0.06654792280652531,190.0,1900.0,2023.0,50.0,0.4625,2400
STORM,7,69.59538416593631,RandomForest,true,false,true,0.1971153846153846,0.17083333333333334,0.6989697510408701,0.13682766215873277,41.0,167.0,3756.0,199.0,0.5291666666666667,2157
STORM,7,69.59538416593631,NaiveBayes,false,false,false,0.16906474820143885,0.39166666666666666,0.6682433724190671,0.16927677864613802,94.0,462.0,3461.0,146.0,0.35833333333333334,1922
STORM,7,69.59538416593631,NaiveBayes,true,false,false,0.24836601307189543,0.31666666666666665,0.6617289064491461,0.22853670398350398,76.0,230.0,3693.0,164.0,0.37916666666666665,1870
STORM,7,69.59538416593631,NaiveBayes,true,true,false,0.21428571428571427,0.4625,0.6727743436145807,0.23239283996705795,111.0,407.0,3516.0,129.0,0.4166666666666667,1697
STORM,7,69.59538416593631,NaiveBayes,true,false,true,0.3388888888888889,0.25416666666666665,0.6617251890559945,0.25359252975223506,61.0,119.0,3804.0,179.0,0.3541666666666667,1909
STORM,7,69.59538416593631,IBk,false,false,false,0.08415841584158416,0.07083333333333333,0.43714313025745605,0.02557647758056662,17.0,185.0,3738.0,223.0,0.15,2415
STORM,7,69.59538416593631,IBk,true,false,false,0.05913978494623656,0.1375,0.42803445492395276,0.0022650523830199543,33.0,525.0,3398.0,207.0,0.22083333333333333,2595
STORM,7,69.59538416593631,IBk,true,true,false,0.08984375,0.6708333333333333,0.6096652221938992,0.06320864065220735,161.0,1631.0,2292.0,79.0,0.4041666666666667,2421
STORM,7,69.59538416593631,IBk,true,false,true,0.05904059040590406,0.13333333333333333,0.42804242076642024,0.0020939429894640373,32.0,510.0,3413.0,208.0,0.2,2590
STORM,8,90.49570389953735,RandomForest,false,false,false,0.8333333333333334,0.024875621890547265,0.539326407574094,0.040534590555927875,5.0,1.0,1236.0,196.0,0.42786069651741293,1961
STORM,8,90.49570389953735,RandomForest,true,false,false,0.8333333333333334,0.024875621890547265,0.5298507462686567,0.040534590555927875,5.0,1.0,1236.0,196.0,0.4228855721393035,1961
STORM,8,90.49570389953735,RandomForest,true,true,false,0.30685920577617326,0.4228855721393035,0.6259446502330707,0.23108279370149845,85.0,192.0,1045.0,116.0,0.4577114427860697,1352
STORM,8,90.49570389953735,RandomForest,true,false,true,NaN,0.0,0.5419165289156481,0.0,0.0,0.0,1237.0,201.0,0.44776119402985076,2010
STORM,8,90.49570389953735,NaiveBayes,false,false,false,1.0,0.004975124378109453,0.6902934800532503,0.008528858153436396,1.0,0.0,1237.0,200.0,0.39,2000
STORM,8,90.49570389953735,NaiveBayes,true,false,false,1.0,0.004975124378109453,0.6771598756420002,0.008528858153436396,1.0,0.0,1237.0,200.0,0.395,2000
STORM,8,90.49570389953735,NaiveBayes,true,true,false,0.8,0.03980099502487562,0.6303607266818696,0.0634205973319796,8.0,2.0,1235.0,193.0,0.19,1932
STORM,8,90.49570389953735,NaiveBayes,true,false,true,1.0,0.004975124378109453,0.6771598756420002,0.008528858153436396,1.0,0.0,1237.0,200.0,0.395,2000
STORM,8,90.49570389953735,IBk,false,false,false,0.6363636363636364,0.06965174129353234,0.45073138752478514,0.10076002950325486,14.0,8.0,1229.0,187.0,0.365,1878
STORM,8,90.49570389953735,IBk,true,false,false,0.56,0.06965174129353234,0.449480568057047,0.09593634302624636,14.0,11.0,1226.0,187.0,0.37,1881
STORM,8,90.49570389953735,IBk,true,true,false,0.28903654485049834,0.43283582089552236,0.565911348672965,0.21503676311506234,87.0,214.0,1023.0,114.0,0.4129353233830846,1354
STORM,8,90.49570389953735,IBk,true,false,true,0.6666666666666666,0.04975124378109453,0.449480568057047,0.0746278457406644,10.0,5.0,1232.0,191.0,0.36,1915
STORM,9,91.68030055141489,RandomForest,false,false,false,1.0,0.0546218487394958,0.7710879946692333,0.08719547328142759,13.0,0.0,1135.0,225.0,0.5527426160337553,2250
STORM,9,91.68030055141489,RandomForest,true,false,false,1.0,0.05042016806722689,0.7702439566134824,0.08070202466092687,12.0,0.0,1135.0,226.0,0.5527426160337553,2260
STORM,9,91.68030055141489,RandomForest,true,true,false,0.45,0.6050420168067226,0.7740532336282531,0.3960548309422723,144.0,176.0,959.0,94.0,0.5672268907563025,1116
STORM,9,91.68030055141489,RandomForest,true,false,true,NaN,0.0,0.7813663791507792,0.0,0.0,0.0,1135.0,238.0,0.5168067226890757,2380
STORM,9,91.68030055141489,NaiveBayes,false,false,false,NaN,0.0,0.5802891200533077,0.0,0.0,0.0,1135.0,238.0,0.4472573839662447,2380
STORM,9,91.68030055141489,NaiveBayes,true,false,false,NaN,0.0,0.5800521970902899,0.0,0.0,0.0,1135.0,238.0,0.4472573839662447,2380
STORM,9,91.68030055141489,NaiveBayes,true,true,false,0.7857142857142857,0.046218487394957986,0.5623921815422204,0.06937748281918572,11.0,3.0,1132.0,227.0,0.1729957805907173,2273
STORM,9,91.68030055141489,NaiveBayes,true,false,true,NaN,0.0,0.5800521970902899,0.0,0.0,0.0,1135.0,238.0,0.4472573839662447,2380
STORM,9,91.68030055141489,IBk,false,false,false,1.0,0.10504201680672269,0.7741865027949506,0.16251478383385998,25.0,0.0,1135.0,213.0,0.542016806722689,2130
STORM,9,91.68030055141489,IBk,true,false,false,1.0,0.10084033613445378,0.770752970791841,0.15641598383012462,24.0,0.0,1135.0,214.0,0.5504201680672269,2140
